EGG,POTION
3900,1450
3900,1489
3939,1500
3950,1500
3950,1511
3940,1519
3950,1500
3950,1500
3988,1500
3988,1490
3998,1535
3998,1553
3997,1500
3996,1500
3990,1552
3999,1550
3900,1490
3990,1490
3990,1490
3999,1500
3990,1525
3999,1550
3950,1350
3997,1500
3969,1500
3989,1500
3998,1551
3990,1549
3990,1549
3885,1553
3883,1553
3990,1545
3990,1560
3950,1553
3990,1553
4000,1400
4000,1555
4000,1560
3999,1560
3999,1565
3950,1570
3950,1570
3950,1570
3900,1570
3950,1560
3949,1560
3800,1530
3980,1530
3980,1549
3975,1549
3986,1450
3970,1450
3980,1450
3900,1450
3960,1450
3900,1400
3990,1350
3980,1549
3999,1549
4000,1450
3900,1560
3990,1450
3900,1574
3900,1574
3890,1574
3999,1574
3990,1574
3900,1574
3888,1510
3889,1550
3860,1540
3955,1540
3800,1540
3700,1530
3979,1530
3900,1530
3800,1485
3980,1479
3978,1380
3999,1455
3990,1350
3900,1350
3900,1420
3913,1419
3895,1419
3800,1355
3900,1360
3819,1361
3780,1362
3748,1300
3777,1375
3699,1375
3770,1375
3499,1290
3590,1290
3700,1290
3450,1290
3750,1375
3777,1390
3800,1390
3790,1390
3800,1390
3810,1390
3830,1390
3850,1390
3850,1405
3850,1405
3850,1405
3840,1405
3840,1405
3789,1405
3870,1405
3800,1405
3700,1469
3799,1469
3799,1460
3799,1450
3740,1450
3780,1450
3670,1450
3670,1450
3660,1250
3660,1250
3668,1450
3668,1435
3630,1439
3650,1439
3610,1439
3550,1450
3560,1450
3590,1390
3666,1400
3666,1450
3600,1450
3660,1450
3667,1440
3667,1420
3669,1420
3669,1390
3660,1390
3700,1400
3700,1400
3775,1400
3690,1439
3690,1439
3700,1290
3650,1400
3600,1400
3500,1395
3500,1395
3500,1395
3599,1395
3600,1350
3600,1350
3640,1395
3640,1395
3600,1396
3600,1396
3560,1390
3560,1390
3500,1390
3500,1390
3560,1285
3490,1285
3560,1285
3555,1285
3300,1390
3550,1390
3560,1380
3560,1380
3587,1380
3587,1380
3500,1380
3500,1379
3500,1379
3558,1379
3560,1379
3500,1379
3500,1379
3500,1368
3500,1366
3560,1360
3587,1363
3500,1360
3650,1363
3590,1360
3700,1360
3800,1360
3799,1360
3850,1360
3838,1360
3850,1375
3889,1379
3879,1395
3800,1398
3830,1400
3830,1399
3850,1399
3880,1395
3890,1390
3890,1360
3870,1350
3870,1350
3865,1350
3860,1350
3800,1350
3800,1350
3800,1350
