Time,Metamon,Kiss_Land,New_Harvard_N_Land,MUSK_USM_Land
06/01/2022 10:39:10,349999,379000,712000,1149990
06/01/2022 10:39:26,349999,379000,712000,1149990
06/01/2022 10:40:04,349999,379000,712000,1149990
06/01/2022 10:40:25,349999,379000,712000,1149990
06/01/2022 10:41:24,349999,379000,712000,1149990
06/01/2022 10:43:03,349999,379000,712000,1149990
06/01/2022 10:44:19,349999,379000,712000,1149990
06/01/2022 10:44:19,349999,379000,712000,1149990
06/01/2022 10:45:26,349999,379000,712000,1149990
06/01/2022 10:45:27,349999,379000,712000,1149990
06/01/2022 10:46:21,349999,379000,712000,1149990
06/01/2022 10:46:21,349999,379000,712000,1149990
06/01/2022 10:48:19,350000,379000,712000,1149990
06/01/2022 10:48:18,350000,379000,712000,1149990
06/01/2022 10:50:29,350000,379000,712000,1149990
06/01/2022 10:50:29,350000,379000,712000,1149990
06/01/2022 10:53:12,340000,379000,712000,1149990
06/01/2022 10:54:42,340000,379000,712000,1149990
06/01/2022 10:55:31,340000,379000,712000,1149990
06/01/2022 10:55:44,340000,379000,712000,1149990
06/01/2022 10:58:57,350000,379000,712000,1149990
06/01/2022 11:00:33,348000,379000,712000,1149990
06/01/2022 11:03:58,348000,379000,712000,1149990
06/01/2022 11:05:35,341000,379000,712000,1248000
06/01/2022 11:09:00,341000,379000,712000,1100000
06/01/2022 11:10:37,341000,378000,712000,1100000
06/01/2022 11:14:02,347000,378000,712000,1100000
06/01/2022 11:15:39,347000,378000,712000,1100000
06/01/2022 11:19:04,341000,378000,712000,1100000
06/01/2022 11:20:41,341000,378000,712000,1100000
06/01/2022 11:24:06,341000,378000,712000,1250000
06/01/2022 11:25:43,341000,378000,712000,1250000
06/01/2022 11:29:08,341000,378000,712000,1250000
06/01/2022 11:30:44,340000,378000,712000,1250000
06/01/2022 11:34:10,340000,378000,712000,1250000
06/01/2022 11:35:45,340000,378000,712000,1250000
06/01/2022 11:39:12,339000,378000,712000,1250000
06/01/2022 11:40:47,339000,378000,712000,1250000
06/01/2022 11:44:14,340000,378000,712000,1250000
06/01/2022 11:45:49,340000,378000,712000,1250000
06/01/2022 11:49:16,340000,378000,712000,1250000
06/01/2022 11:50:51,340000,378000,712000,1250000
06/01/2022 11:54:18,340000,378000,712000,1250000
