Metamon,Kiss_Land
350000,379000
350000,379000
340000,379000
340000,379000
340000,379000
340000,379000
350000,379000
348000,379000
348000,379000
341000,379000
341000,379000
341000,378000
347000,378000
347000,378000
341000,378000
341000,378000
341000,378000
341000,378000
341000,378000
340000,378000
340000,378000
340000,378000
339000,378000
339000,378000
340000,378000
340000,378000
340000,378000
340000,378000
340000,378000
339990,378000
340000,378000
340000,378000
340000,378000
340000,378000
340000,369999
340000,369999
340000,369999
340000,378000
340000,377700
340000,376000
336000,375000
336000,375000
320000,375000
320000,372000
330000,372000
330000,372000
330000,372000
330000,372000
330000,369999
325000,369999
325000,369999
325000,369999
325000,369999
324000,369999
325000,369999
326000,369999
339000,369999
339000,369999
338000,369999
338000,369999
315000,369999
335000,369999
335000,369999
339000,369990
339000,369990
339000,369990
339000,369990
338999,369990
330000,369990
329999,369990
328500,369990
329999,369990
325000,369990
324000,369000
324000,369000
325000,369990
325000,369990
325000,369990
330000,369990
330000,369990
339999,369990
338999,369990
338999,369990
338999,369990
338999,367000
338999,369990
338999,369990
338999,369990
338888,369990
338888,369990
335000,369990
334500,369990
333000,369990
333000,369990
333000,369990
332000,369990
332000,369990
333000,369990
333000,369990
333231,369990
333231,369990
334500,369990
335000,369990
336666,369990
336666,369990
336666,369990
336666,368000
333900,368000
333900,368000
333900,369990
333900,369990
333900,367999
333900,367999
333900,367999
333900,367999
330000,370000
330000,370000
330000,370000
330000,370000
330000,370000
330000,370000
330000,370000
338888,370000
339999,370000
339999,370000
340000,370000
338000,370000
338000,370000
340000,370000
340000,370000
339000,370000
339000,370000
339000,370000
339000,370000
340000,370000
340000,370000
340000,370000
340000,370000
349999,370000
349999,370000
360000,369888
360000,369888
366660,369888
366660,369888
366660,369888
366660,369888
366660,355000
366660,355000
366660,355000
366660,369888
366660,369888
366660,369888
360000,369888
360000,369888
355000,369888
350013,369888
355000,369888
355000,369888
350000,369000
350000,369000
350000,369000
350000,369000
350000,369888
350000,369888
350000,369888
350000,368000
349988,367999
349988,367999
348880,367999
342000,361000
340000,361000
340000,361000
330000,361000
340000,361000
334000,361000
332000,361000
340000,361000
345000,361000
345000,361000
345000,361000
340000,361000
340000,361000
345000,361000
345000,361000
340000,360000
335000,360000
335000,355555
345000,355555
340000,355555
340000,355555
340000,355555
340000,355555
340000,355555
340000,355555
345000,355555
345000,365000
345000,365000
345000,365000
345000,365000
345000,365000
345000,365000
345000,365000
340000,365000
340000,365000
340000,365000
340000,367999
340000,367999
340000,365000
340000,365000
340000,364000
340000,364000
340000,364000
340000,365000
340000,365000
345000,364000
345000,364000
345000,364000
345000,364000
344888,364000
344888,364000
344888,364000
344888,360000
344888,360000
344888,360000
344888,359000
344777,359000
344777,359999
344888,340000
344888,359999
344888,359999
340000,359999
340000,360000
339888,360000
339888,360000
339888,360000
339888,360000
339888,360000
339888,360000
339888,360000
339888,364000
333333,364000
339888,364000
338000,361500
339000,361500
339888,361500
339888,361500
339888,361500
340000,361500
339990,364000
340000,364000
340000,364000
340000,364000
340000,364000
340000,364000
339988,364000
339988,364000
339988,364000
339988,364000
339988,364000
339988,364000
339988,364000
339988,364000
339966,364000
339966,364500
339966,364500
339966,364500
339966,364500
338000,364500
339966,364500
339966,364500
339966,359000
338000,364500
338000,364500
338000,364500
338000,364500
338000,364500
338000,364500
338000,364500
338000,364500
320000,364500
338000,364500
338000,364500
338000,364500
338000,364500
338000,364500
338000,364500
338000,364500
338000,364500
338000,364500
338000,364500
338000,364500
339966,364500
339988,369888
339988,369888
339000,369888
339000,369000
339000,369000
339000,369000
339000,369000
339000,369000
339000,365000
339988,365000
339988,365000
339988,365000
339988,365000
